Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Chuck Lloyd,14,4.7,1.8,0.4,45.1,-,66.7,45.1,17.4,0.2
Chuck Mencel,141,7.0,2.5,2.4,34.1,null,76.5,null,11.7,1.9
Chuck Mrazovich,25,3.4,1.6,0.5,35.0,null,60.4,null,-,0.4
Chuck Nevitt,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5
Chuck Noble,411,8.0,2.6,3.3,34.6,null,73.1,null,9.5,-0.9
Chuck Osborne,4,1.3,2.3,0.3,12.5,null,75.0,null,4.7,-0.1
Chuck Person,943,14.7,5.1,2.8,45.8,36.2,72.3,50.8,13.7,38.9
Chuck Share,596,8.3,8.4,1.4,40.0,null,69.3,null,17.1,40.9
Chuck Terry,341,3.8,2.4,0.8,41.9,32.3,77.5,42.2,8.5,6.4
Chuck Williams,638,10.8,2.3,4.5,46.7,29.1,79.0,46.9,13.1,32.8
Chuckie Williams,22,1.7,0.2,0.3,29.8,null,75.0,null,8.8,-0.2
Chucky Atkins,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9
Chucky Brown,694,5.9,3.1,0.8,49.1,22.7,69.9,49.4,11.6,19.0
Cincinnatus Powell,599,16.3,7.6,2.2,47.2,27.4,72.5,47.4,16.7,41.1
Clarence Brookins,8,2.6,1.5,0.1,30.8,0.0,41.7,30.8,7.7,-0.2
Clarence Glover,25,2.6,1.8,0.2,45.5,null,46.9,null,14.0,0.3
Clarence Kea,51,3.9,2.5,0.4,48.5,0.0,69.2,48.5,13.8,1.0
Clarence Weatherspoon,915,11.5,7.5,1.5,47.1,19.6,74.3,47.2,15.6,58.4
Clark Kellogg,260,18.9,9.5,2.9,49.7,33.8,75.7,50.0,19.3,20.9
Claude English,18,1.5,1.1,0.3,26.2,null,71.4,null,3.8,-0.3
Claude Gregory,25,5.4,3.9,0.6,45.6,0.0,33.3,45.6,12.9,0.0
Claude Overton,15,3.9,1.7,1.0,25.3,null,66.7,null,6.3,-0.4
Claude Terry,349,5.5,1.4,1.3,46.8,33.8,78.5,48.3,11.9,6.9
Claude Virden,31,9.9,5.0,2.4,39.8,0.0,78.0,39.8,9.6,0.4
Clay Johnson,80,2.8,1.2,0.6,41.0,33.3,72.4,41.2,9.1,0.7
Cleanthony Early,56,4.3,2.2,0.8,34.6,26.3,75.0,39.8,7.2,-0.6
Clem Haskins,681,12.8,3.1,3.5,44.9,null,79.2,null,15.2,35.8
Clemon Johnson,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
Cleo Hill,58,5.5,3.1,2.0,34.6,null,77.4,null,9.1,0.3
Cleveland Buckner,68,6.0,3.5,0.6,43.2,null,62.0,null,15.6,1.3
Cliff Alexander,8,1.3,0.8,0.0,50.0,-,-,50.0,11.6,0.0
Cliff Anderson,84,3.0,1.3,0.9,35.4,-,58.5,35.4,10.6,0.3
Cliff Barker,149,3.7,1.8,2.0,31.6,null,66.2,null,10.8,2.0
Cliff Hagan,839,17.7,6.6,3.2,45.4,0.0,79.9,45.4,19.8,85.3
Cliff Levingston,830,7.1,5.2,0.9,51.6,15.2,67.6,51.6,13.8,44.2
Cliff Meely,318,8.4,5.4,1.3,41.7,null,67.5,null,12.3,4.6
Cliff Pondexter,197,3.9,3.8,1.1,41.6,null,66.7,null,11.7,4.7
Cliff Robinson,629,17.2,8.3,2.0,46.8,18.4,72.2,46.9,17.0,30.5
Cliff Williams,3,1.3,1.0,0.7,22.2,null,-,null,-3.5,-0.1
Clifford Lett,11,3.5,0.6,0.7,43.2,0.0,66.7,43.2,3.4,-0.1
Clifford Ray,784,7.4,8.9,2.2,52.4,0.0,58.8,52.4,14.4,56.7
Clifford Robinson,1380,14.2,4.6,2.2,43.8,35.6,68.9,47.5,14.5,89.7
Clifford Rozier,173,4.8,5.2,0.6,49.6,18.2,46.5,49.8,11.9,3.9
Clint Capela,325,12.2,9.7,1.0,63.6,0.0,52.6,63.6,22.2,35.7
Clint McDaniel,12,2.5,0.8,0.6,34.8,33.3,75.0,39.1,15.6,0.2
Clint Richardson,586,7.0,2.4,2.5,46.3,24.4,77.0,46.5,11.1,16.6
Clint Wager,63,2.3,-,1.4,28.1,null,61.7,null,-,1.5
Clinton Smith,46,2.9,1.3,1.1,43.0,0.0,71.4,43.0,11.0,0.3
Clinton Wheeler,87,2.9,0.8,1.8,48.9,0.0,74.1,48.9,12.3,1.1
Clyde Dickey,58,2.8,1.1,0.8,35.0,13.3,76.2,35.5,5.5,-0.8
Clyde Drexler,1086,20.4,6.1,5.6,47.2,31.8,78.8,49.5,21.1,135.6
Clyde Lee,742,7.7,10.3,1.1,43.2,null,61.4,null,11.9,33.5
Clyde Lovellette,704,17.0,9.5,1.6,44.3,null,75.7,null,21.6,70.6
Clyde Mayes,74,4.0,3.8,0.5,44.6,null,56.7,null,10.8,0.9
Coby Dietrick,842,6.1,4.5,2.1,46.2,19.4,73.5,46.3,12.6,27.7
Coby Karl,24,2.4,1.3,1.0,34.5,25.0,75.0,39.7,9.2,0.0
Coby White,38,11.3,3.5,2.2,37.4,34.7,73.2,45.5,10.1,0.1
Cody Martin,29,4.0,2.6,1.2,40.8,21.1,69.0,44.9,10.7,0.5
Cody Zeller,398,8.6,5.9,1.4,51.5,28.1,73.7,52.0,15.9,26.6
Cole Aldrich,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6
Collin Sexton,119,17.3,3.0,2.8,43.7,37.2,83.6,48.0,12.9,0.1
Collis Jones,298,8.1,4.7,1.1,45.4,21.4,70.2,45.5,13.6,10.7
Collis Temple,24,1.8,1.3,0.6,41.5,0.0,80.0,41.5,12.9,0.1
Conner Henry,93,3.3,0.9,1.1,37.8,37.9,75.7,43.5,9.7,0.1
Connie Dierking,706,10.0,6.7,1.5,41.7,null,69.7,null,13.4,13.3
Connie Hawkins,616,18.7,8.8,4.1,47.9,16.1,77.9,48.0,19.9,76.7
Connie Norman,99,6.0,1.5,0.9,43.9,null,82.0,null,12.9,1.2
Connie Rea,20,1.2,1.6,0.8,20.9,null,31.3,null,4.4,-0.6
Connie Simmons,598,9.8,6.2,1.6,35.1,null,67.8,null,14.1,29.0
Corey Beck,88,2.7,1.4,1.4,45.1,60.0,68.4,45.9,9.1,0.5
Corey Benjamin,153,5.5,1.7,0.9,39.0,28.9,65.2,42.5,8.9,-0.9
Corey Brewer,814,8.7,2.8,1.5,42.5,28.4,71.3,46.5,11.8,22.5
Corey Crowder,58,2.1,0.8,0.3,36.9,38.2,70.8,42.2,7.6,0.2
Corey Gaines,80,3.1,0.9,3.1,42.4,22.9,73.6,44.9,10.8,1.1
