Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Larry Brown,376,11.2,2.7,6.7,41.2,23.0,81.3,41.9,11.4,24.8
Larry Bunce,129,8.9,6.4,0.7,42.0,0.0,71.6,42.0,12.6,4.3
Larry Cannon,213,16.6,2.9,3.6,41.1,25.7,76.0,41.5,14.8,7.1
Larry Comley,12,2.1,1.6,1.0,21.6,null,56.3,null,5.6,-0.3
Larry Conley,1,2.0,0.0,0.0,25.0,-,-,25.0,-11.4,0.0
Larry Costello,706,12.2,3.8,4.6,43.8,null,84.1,null,14.5,62.7
Larry Demic,206,4.7,3.9,0.5,45.9,0.0,58.0,45.9,8.1,1.4
Larry Drew,714,11.4,1.8,5.2,46.7,29.1,79.8,47.5,14.0,24.4
Larry Drew II,22,2.9,0.8,2.5,32.9,20.0,66.7,37.2,4.1,-0.5
Larry Finch,128,8.6,1.7,2.4,43.1,34.2,82.9,44.5,9.7,1.7
Larry Fogle,2,1.0,1.5,0.0,20.0,null,-,null,-0.5,0.0
Larry Foust,817,13.7,9.8,1.7,40.5,null,74.1,null,18.4,74.3
Larry Friend,44,4.0,2.4,1.1,32.7,null,65.9,null,7.7,-0.4
Larry Hennessy,74,4.5,1.3,1.0,33.4,null,76.6,null,9.5,-1.0
Larry Hughes,727,14.1,4.2,3.1,40.6,30.9,75.7,43.5,14.9,32.3
Larry Johnson,4,1.5,1.3,1.8,23.1,null,0.0,null,8.0,-0.1
