Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Bob Miller,2,2.0,2.5,0.5,66.7,-,-,66.7,25.0,0.1
Bob Mullens,54,5.8,-,1.0,28.1,null,62.7,null,-,2.1
Bob Naber,4,0.3,1.3,0.3,0.0,null,50.0,null,-10.4,-0.1
Bob Nash,236,4.7,2.3,0.7,42.9,0.0,72.9,42.9,11.1,2.4
Bob Netolicky,618,16.0,8.9,1.4,49.2,19.4,66.1,49.3,17.4,48.0
Bob O'Brien,46,1.8,-,0.2,20.6,null,46.6,null,-,-0.1
Bob Peterson,103,4.7,3.8,0.8,38.6,null,66.9,null,12.1,1.5
Bob Pettit,792,26.4,16.2,3.0,43.6,null,76.1,null,25.3,136.0
Bob Portman,221,5.7,3.3,0.6,44.3,null,78.0,null,13.0,4.4
Bob Priddy,16,2.3,2.3,0.4,36.8,null,57.1,null,7.8,0.0
Bob Quick,142,6.0,2.8,0.7,45.4,-,74.6,45.4,13.4,4.3
Bob Rensberger,3,0.0,-,0.0,0.0,null,-,null,-,-0.1
Bob Riedy,23,5.7,3.0,0.2,34.9,-,61.2,34.9,9.1,0.0
Bob Riley,7,1.9,1.7,0.1,44.4,null,55.6,null,10.9,0.0
Bob Royer,42,4.7,-,2.0,33.8,null,70.7,null,-,0.0
Bob Rule,403,17.4,8.3,1.5,46.1,null,68.6,null,16.6,22.7
Bob Santini,4,2.8,0.8,0.3,50.0,null,50.0,null,12.7,0.1
Bob Schafer,65,4.2,1.3,1.0,29.8,null,77.7,null,7.0,-0.7
Bob Shea,43,2.2,-,0.1,24.2,null,57.6,null,-,-0.4
Bob Sims,67,7.7,2.7,2.3,39.2,-,57.2,39.2,9.0,0.4
Bob Sura,657,8.6,3.4,3.8,41.4,32.5,68.9,46.0,14.3,28.3
Bob Thornton,283,3.0,2.5,0.3,44.4,22.2,55.8,44.6,6.2,1.3
Bob Tough,82,7.1,-,1.7,27.8,null,71.3,null,-,-0.8
Bob Verga,342,20.2,3.9,2.9,43.8,29.6,74.9,44.9,17.5,19.7
Bob Warlick,186,7.9,3.0,2.1,40.1,0.0,60.3,40.1,11.9,0.8
Bob Warren,486,8.9,3.2,1.8,44.0,26.2,80.1,45.4,13.1,20.7
Bob Weiss,783,7.6,1.8,3.7,42.8,null,82.8,null,12.5,31.2
Bob Wiesenhahn,60,2.0,1.9,0.4,31.7,null,56.7,null,7.5,-0.7
Bob Wilkerson,536,10.1,4.2,3.4,42.5,16.7,75.1,42.6,11.1,8.2
Bob Williams,24,2.9,2.5,0.3,44.0,null,54.2,null,12.3,0.5
Bob Wilson,63,3.7,3.3,1.7,29.9,null,57.8,null,7.8,0.2
Bob Wood,6,1.2,-,0.2,21.4,null,100.0,null,-,-0.2
Bob Woollard,19,4.4,3.6,0.3,39.0,0.0,80.0,39.0,9.8,0.1
Boban Marjanović,204,6.1,4.0,0.6,57.9,28.6,76.9,58.2,25.6,10.1
Bobby Brown,158,4.4,0.7,1.5,37.9,31.7,80.6,44.6,8.9,-1.2
Bobby Cattage,78,3.1,1.4,0.1,40.4,14.3,76.5,40.6,10.2,0.3
Bobby Cook,51,11.5,-,3.1,35.8,null,79.0,null,-,1.9
Bobby Croft,62,5.2,3.3,0.7,36.2,0.0,65.2,36.2,9.5,-0.6
Bobby Edmonds,75,7.7,5.0,0.4,43.4,16.7,65.1,43.5,12.1,2.5
Bobby Fields,22,2.5,1.4,0.9,45.8,28.6,61.5,47.9,9.2,0.2
Bobby Hooper,54,5.0,2.0,2.6,41.3,12.5,72.9,42.1,9.8,1.1
Bobby Hurley,269,3.8,1.1,3.3,35.3,27.2,76.9,38.4,8.1,-1.2
Bobby Jackson,755,9.7,3.1,2.6,41.7,35.4,79.3,47.0,15.2,31.4
Bobby Jones,941,12.1,6.1,2.7,56.0,0.0,76.6,56.0,18.2,94.1
Bobby Jones,91,3.2,1.6,0.5,44.2,30.6,68.5,48.3,9.7,1.1
Bobby Lewis,255,5.8,2.1,2.2,38.1,null,71.2,null,9.7,1.1
