Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Josh Hall,21,4.1,2.8,1.3,30.3,10.8,50.0,32.3,1.0,-0.9
Jeff Halliburton,92,6.1,1.6,1.3,44.0,null,81.4,null,13.9,1.4
Joe Hamilton,344,12.0,2.6,3.5,40.8,31.2,80.7,44.0,13.3,12.4
Jordan Hamilton,151,5.9,2.8,0.8,40.8,35.7,67.0,48.9,13.4,3.0
Justin Hamilton,113,6.1,3.6,0.8,46.4,30.9,79.8,52.3,13.9,3.7
Julian Hammond,329,10.8,6.2,1.3,51.4,0.0,69.1,51.4,16.3,24.8
Joe Hamood,76,9.9,2.9,3.0,33.5,20.5,73.8,34.4,10.1,0.3
James Harden,877,25.1,5.5,6.5,44.4,36.3,85.8,52.8,24.8,142.0
James Hardy,249,5.7,5.3,1.3,48.1,33.3,70.0,48.2,11.4,6.3
John Hargis,89,8.6,2.3,1.4,40.0,null,70.2,null,-,9.1
Jerry Harkness,86,7.2,2.7,1.8,44.0,20.0,66.5,44.1,13.8,3.4
Jerome Harmon,10,4.6,2.3,1.2,39.6,100.0,50.0,40.6,10.1,0.0
Jared Harper,11,0.5,0.2,0.1,12.5,0.0,75.0,12.5,-9.0,-0.2
Justin Harper,22,2.0,0.8,0.2,34.0,27.6,33.3,41.5,3.6,-0.3
Josh Harrellson,75,3.5,3.0,0.3,43.8,34.7,62.9,50.6,13.4,2.1
Junior Harrington,140,5.2,2.7,3.1,37.1,27.4,68.9,38.4,7.1,-0.9
Jalen Harris,13,7.4,1.4,1.3,50.0,47.2,77.8,61.8,15.2,0.3
Joe Harris,400,11.1,3.2,1.7,48.4,43.8,77.9,60.9,12.7,20.0
Jason Hart,341,4.8,1.7,2.3,41.7,31.5,78.8,43.9,12.2,8.6
Josh Hart,242,8.7,5.4,1.6,43.2,34.8,72.8,53.5,11.3,11.4
Joe Hassett,292,5.9,1.1,1.3,42.1,33.6,86.1,47.8,12.9,6.4
John Havlicek,1270,20.8,6.3,4.8,43.9,null,81.5,null,17.5,131.7
Juaquin Hawkins,58,2.3,1.3,0.8,38.5,41.7,50.0,41.9,7.3,0.4
Jarvis Hayes,427,8.3,3.1,1.1,41.5,35.6,79.8,47.4,10.8,10.2
Jaxson Hayes,124,7.4,4.2,0.7,64.7,38.9,69.7,65.4,18.3,7.4
Jim Hayes,47,3.1,1.0,1.0,42.2,-,77.6,42.2,6.0,0.6
John Hazen,6,3.0,-,0.5,35.3,null,85.7,null,-,0.2
J.R. Henderson,30,3.2,1.6,0.7,36.5,40.0,55.6,37.5,9.0,-0.2
Jerome Henderson,7,2.3,1.1,0.0,37.5,-,100.0,37.5,0.7,-0.1
John Henson,445,7.6,5.3,1.1,54.0,25.0,56.8,54.4,17.1,20.7
Juan Hernangómez,257,5.7,3.5,0.7,43.0,35.1,69.3,52.7,11.5,7.2
Jack Hewson,24,2.7,-,0.0,24.7,null,70.0,null,-,0.1
